"Time","Message","Severity"
"11.08.2023 8:18","Clearing existing Azure connection","Information"
"11.08.2023 8:18","Clearing existing Azure context 
","Information"
"11.08.2023 8:18","Clearing of existing connection and context completed.","Information"
"11.08.2023 8:19","
Working in Subscription: Security Monitoring","Information"
"11.08.2023 8:19","Listing Azure Logic Apps workspace from Security Monitoring","Information"
"11.08.2023 8:19","Creating ARM Template","Information"
"11.08.2023 8:19","@{properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/resourceGroups/RG-Microsoft-Sentinel-NE/providers/Microsoft.Logic/workflows/Block-AADUser-Incident; name=Block-AADUser-Incident; type=Microsoft.Logic/workflows; location=northeurope; tags=; identity=}","Information"
"11.08.2023 8:19","@{kind=V1; properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/resourceGroups/RG-Microsoft-Sentinel-NE/providers/Microsoft.Web/connections/azuread-Block-AADUser-Incident; name=azuread-Block-AADUser-Incident; type=Microsoft.Web/connections; location=northeurope}","Information"
"11.08.2023 8:19","@{properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/providers/Microsoft.Web/locations/northeurope/managedApis/azuread; name=azuread; type=Microsoft.Web/locations/managedApis; location=northeurope}","Information"
"11.08.2023 8:19","@{kind=V1; properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/resourceGroups/RG-Microsoft-Sentinel-NE/providers/Microsoft.Web/connections/microsoftsentinel-Block-AADUser-Incident; name=microsoftsentinel-Block-AADUser-Incident; type=Microsoft.Web/connections; location=northeurope}","Information"
"11.08.2023 8:19","@{properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/providers/Microsoft.Web/locations/northeurope/managedApis/azuresentinel; name=azuresentinel; type=Microsoft.Web/locations/managedApis; location=northeurope}","Information"
"11.08.2023 8:19","@{kind=V1; properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/resourceGroups/RG-Microsoft-Sentinel-NE/providers/Microsoft.Web/connections/office365-Block-AADUser-Incident; name=office365-Block-AADUser-Incident; type=Microsoft.Web/connections; location=northeurope}","Information"
"11.08.2023 8:19","@{properties=; id=/subscriptions/1ec15845-0467-4b43-bb95-d3badc6dff62/providers/Microsoft.Web/locations/northeurope/managedApis/office365; name=office365; type=Microsoft.Web/locations/managedApis; location=northeurope}","Information"
"11.08.2023 8:19","ARM Template created successfully at E:\Sentinel Repository\Sentinel\5 - Playbooks\Block-AADUser-Incident\azuredeploy.json","Information"
